pid,ipc1,YEAR,tech,com
US1912707,B44B 3,1929,printing machine,James H Harriman
US1942602,H03B 5,1929,radio system,Wired Radio Inc
US1949509,B23D 51,1929,cutting machine,Int Register Co
US1951733,H02J 3,1929,power controller,Products Prot Corp
US1974207,H03J 5,1929,movement system,Morris Goldstein
US2008909,G08B 5,1929,signal system,Associated Electric Lab Inc
US2023221,G01R 17,1929,remote control system,Siemens Ag
US2025218,H03J 1,1929,remote control for radioreceiver,Fed Telegraph Co
US2055363,H03J 5,1929,remote control,Stromberg Carlson Telephone
US2094777,H03J 5,1929,selective control system,Morris Goldstein
US2095730,H04M 1,1929,computing system,Associated Electric Lab Inc
US2248937,H04L 12,1929,tele system,Associated Electric Lab Inc
US1732636,B65H 35,1928,strip system,Nashua Gummed & Coated Paper
US1738344,H02J 3,1928,control system,Gen Electric
US1749842,G05D 3,1928,electric control,Krupp Ag
US1762725,G01R 23,1928,indicate device,Bell Telephone Labor Inc
US1771445,H04L 25,1928,telegraphy system,American Telephone & Telegraph
US1771446,H04L 25,1928,telegraphy system,American Telephone & Telegraph
US1771551,H01F 29,1928,transformer,Robert Strohschneider
US1787550,B60L 15,1928,electric control,Union Switch & Signal Co
US1798044,B60L 15,1928,remote control,Giacomo Somajni
US1909471,H03K 17,1928,electric timing device,Stirlen Engineering & Res Corp
US1925904,G01B 7,1928,guage control,Goodrich Co B F
US1930159,G05D 3,1928,radio remote control system,Crilly William P
US1930278,H03B 19,1928,ocsillograph,Bell Telephone Labor Inc
US1934753,H04N 1,1928,trans facsimiles,Ernest Wildhaber
US1936153,H04L 25,1928,electric transmission system,Bell Telephone Labor Inc
US1957672,H04Q 3,1928,telephone system,Associated Electric Lab Inc
US1967255,C10M 159,1928,lubricant process,William B D Penniman
US1974642,B26F 1,1928,cutting machine,Int Register Co
US1975791,B41J 5,1928,typewriter actuator,Edwin Hopkins
US1992727,H04R 19,1928,electric phonograph,American Telephone & Telegraph
US2052539,H04L 12,1928,electric indicate system,Teleregister Corp
US2139079,H04L 25,1928,translator,Teleregister Corp
US2380894,H04L 13,1928,communication system,Barber Colman Co
US1643721,B23D 49,1927,cincinnati,Henry A. Meyer
US1654238,H02P 7,1927,remote control,Chandler Edward F
US1661651,H01F 7,1927,electric control,Union Switch & Signal Co
US1669107,H02P 5,1927,automatic control,Gen Electric
US1722152,H02M 7,1927,electric control system,Gen Electric
US1727575,H03J 3,1927,frequency control,Wired Radio Inc
US1728311,G06G 7,1927,electrical control system,Bell Telephone Labor Inc
US1729595,G01S 1,1927,distance measure device,Harvey C Hayes
US1730283,E05F 15,1927,control system,Westinghouse Electric & Mfg Co
US1732635,B65H 35,1927,strip system,Nashua Gummed & Coated Paper C
US1733614,H03B 19,1927,frequency control system,Bell Telephone Labor Inc
US1755975,F41G 3,1927,indicate device,Gen Electric
US1777796,H03J 5,1927,tuning system,Hubbell Leroy S
US1779923,B25D 11,1927,rotary motion device,Emanuel Wagner
US1788533,H03B 5,1927,frequency control,Bell Telephone Labor Inc
US1789804,B23D 49,1927,saw,Irwin Rosenthal
US1825345,G01C 19,1927,gyro,Schneider & Cie
US1853284,G09F 19,1927,visual interpretation,Norman I Prosser
US1882010,B61L 7,1927,signaling system,Associated Electric Lab Inc
US1894025,G01B 3,1927,guage control,Western Electric Co
US1916997,G06K 13,1927,calculator,Tabulating Machine Co
US1928093,H04J 3,1927,signal system,Coyle Harold B
US1614147,H02J 5,1926,automatic system,Gen Electric
US1661217,A22B 5,1926,electric handsaw,Fred Farrell
US1700115,B24B 23,1926,polishing machine,Claude H Thompson
US1712763,H04L 15,1926,telegrphic signal,Louis Hamel Charles
US1743175,G08G 1,1926,traffic control system,Westinghouse Electric & Mfg Co
US1756915,F16F 15,1926,single eccentric weight,Gen Motors Res Corp
US1847105,G01F 1,1926,electric registering,Republic Flow Meters Co
US1562917,G08C 19,1925,indicate device,Anschuetz & Co Gmbh
US1589933,B44B 1,1925,cameograph,Giuseppe Bontempi
US1620374,B27B 11,1925,electric saw,Maloney Edward J
US1624156,G03B 21,1925,film projector,Wyko Projector Corp
US1640325,H04M 3,1925,communication system,Western Union Telegraph Co
US1641946,H01G 5,1925,dielectric condensor,Howard J Murray
US1648008,B23D 49,1925,electric handsaw,Holland Furnace Co
US1652715,B65H 35,1925,dispense machine,Mike Kligman
US1684137,F41G 5,1925,motor control,Gen Electric
US1690279,G10L 21,1925,visual interpretatoin,Edward B. Craft
US1698290,H03B 5,1925,oscillation,Gen Electric
US1700114,B24B 23,1925,polishing machine,Claude H Thompson
US1718499,A63J 17,1925,color display,Thomas Marguerite C
US1724057,H04B 1,1925,radio control system,American Telephone & Telegraph
US1742902,H04J 3,1925,radio communication system,Western Electric Co
US1744835,H03B 5,1925,frequency control system,American Telephone & Telegraph
US1754878,H04H 1,1925,radio system,Edward F Colladay
US1485154,G01B 3,1924,guage control,C E Johansson Inc
US1542127,B23D 49,1924,portalble electric saw,Hastings Charles B
US1593164,H04L 25,1924,electric sign control,Siemens Ag
US1600204,G08C 19,1924,angular motion,Gen Electric
US1607182,B23Q 11,1924,indicate device,Baker Walter W
US1637080,H04L 15,1924,signaling system,Kesses Charles H
US1669112,H02J 13,1924,electric control system,Gen Electric
US1683581,B23Q 35,1924,electric machine,Keller Mechanical Engineering
US1686327,G05D 3,1924,tele control,Elek Sche App Mit Beschraenkte
US1696512,G01F 23,1924,indicate device,White Louis A
US1706731,G10F 1,1924,photoelectric control,Jr John Hays Hammond
US1711290,B23Q 35,1924,electric tracer control,Keller Mechanical Engineering
US1723499,G06F 7,1924,computing system,Tabulating Machine Co
US1768966,G05D 3,1924,machine trasmission,Ford Instr Co Inc
US1819868,H04M 3,1924,electric control system,Gen Electric
US1826762,G01F 1,1924,ratio recorder,Bernard S Franklin
US1476538,G08B 5,1923,ELECTROnic control system,Evershed Vignoles Ltd
US1554698,G05D 3,1923,surge preventer,Gen Electric
US1554980,G08C 19,1923,calibrate motion,Gen Electric
US1620020,H01G 5,1923,condenser,Amsco Products Inc
US1739465,B23D 5,1923,automatic cut system,Jorgensen & Co A
US1474673,B23Q 35,1922,attachment lathe,Husted Monroe G
US1552321,H03K 17,1922,thermionic valve,Norman Lea
US1559992,H04B 7,1922,radio system,Drahtlose Telegraphie M B H Ha
US1564872,B64C 13,1922,airplane control,William H Mcmullen
US1569325,G01S 1,1922,radio system,Drahtlose Telegraphie Gmbh
US1703280,G08C 19,1922,stabilizer,Nicolai Minorsky
US1444242,B21D 28,1921,spacing control,Faust Albert A
US1444505,G06M 1,1921,counting system,Shawmut Eng Co
US1492319,E21B 47,1921,measure depth,Copeland Clint M
US1508796,G05D 3,1921,adjusting distance gun system,Siemens Ag
US1573850,G06G 7,1921,measuring factors,Naiman Julius M
US1587122,H02J 13,1921,electric switching,Western Electric Co
US1608527,H03M 1,1921,facsimile system,Western Electric Co
US1719535,H04L 15,1921,wireless telephone,Rca Corp
US1382821,B25D 11,1920,power hammer,Chicago Pneumatic Tool Co
US1416594,G08B 25,1920,tele control,Western Union Telegraph Co
US1453555,H01F 7,1920,electric control,Gen Electric
US1455795,G05D 3,1920,controlling production process,Lloyd Logan
US1460569,B66B 1,1920,electric elevator system,Brodesser Peter H
US1503824,G01B 5,1920,hasaiohic,Wsstsrbt Slectsic compaht
US1515995,G06G 7,1920,electric multiplying machine,Int Time Recording Co Ltd
US1850640,G08C 19,1920,sync transmssion system,Sperry Gyroscope Co Inc
US1300191,G07C 3,1919,recording system,George D Pogue
US1343554,B23D 5,1919,groove machine,William F Fischer
US1347695,B43L 13,1919,pantograph,George Gillespie
US1370540,G06M 1,1919,counter system,Hussey Charlie F
US1373586,B24B 3,1919,grinding machine,Barnes William O
US1381752,B23B 7,1919,automatic lathe,Scheyer Rmanuel
US1431627,G08C 19,1919,remote control,Bristol Company
US1459730,G06M 1,1919,register system,Harris Frank C
US1295572,G05D 23,1918,radio system,Charles Engelhard
US1340573,B64D 43,1918,navigation machine,Joseph A Steinmetz
US1350899,H02J 3,1918,electrical system,Gen Electric
US1364078,H04L 25,1918,telegraphic,Cushing Crehore Albert
US1726643,G01C 19,1918,indicate device,Helge A Borresen
US1320580,G05D 23,1917,set up device,American Rubber company
US1418739,H03B 5,1917,oscilliator,Western Electric Co
US1217572,B23Q 35,1916,machine,Clarence C Craley
US1238101,C10G 27,1916,plastic,Crew Levick Company
US1407078,G01G 23,1916,wegith control system,Murray Howard J
US1542038,G08C 21,1916,telautograph device,Day Albert V T
US1154252,G01C 3,1915,frequency control system,Absalom M Kennedy
US1338761,B28C 7,1915,time control system,Koehring Machine Company
US1346493,G09F 13,1915,sign system,"Hammond William P, Quincy Moses Edmund"
US1111033,G08B 25,1914,signal system,Postal Telegraph Cable Company
US1126899,F04B 9,1914,motion converting device,"Christ Specht, Thomas Williams"
US1166126,B23B 3,1914,machine ,George O Gridley
US1271603,B65H 35,1914,automatic control,Nat Binding Machine Company
US1298302,G01G 11,1914,measure device,Bemiss N Davis
US1322352,B23B 7,1914,automatic lathe,L. Schellenbach
US1155124,G01V 1,1913,signal machine,Submarine Wireless Company
US1274698,G01B 3,1913,gaging machine,Westinghouse Electric & Mfg Co
US1042692,G05D 3,1912,motor control,Gen Electric
US1042693,G05D 3,1912,motor control,Gen Electric
US1077725,G05B 19,1912,motor control,Gen Electric
US1126826,G08C 19,1912,electric signal,Siemens Ag
US1172058,B21D 28,1912,automatic system,Emanuel Scheyer
US1027775,F04B 9,1911,balance system,Company Of Deseniss & Jacobi Actiengesellschaft
US1040378,G07C 3,1911,electric signal system,Gisholt Machine Co
US1044379,B23D 51,1910,roller machine,George Habig
US1123067,G05D 3,1910,remote control,Siemens Ag
US961358,G06M 1,1910,indicate device,Minerallac Electric Company
US998273,B23Q 35,1910,machine tool,Rudolf Beuttenmueller
US921280,G04C 13,1909,time control system,Albert A Radtke
US1074424,G11B 5,1908,magnetic device,"Samuel M Kintner, Halsey M Barrett"
US876701,H03M 1,1907,electronic control system,Heinrich Drewell
US908605,F16H 21,1907,crank and yoke,Fred C Olin
US841325,B26F 1,1906,cloth-cutting machine,Simplex Cutting Machine Co
US811539,G05D 3,1905,electric control,Westinghouse Electric & Mfg Co
US839740,B29D 19,1905,machine,Elbert D W Rose
US853771,F01P 5,1905,trolley wheel,James F Cottrell
US977480,B41J 13,1905,type writing,Yost Writing Machine Co
US776212,B23D 5,1904,automatic roll machine,David S Anthony
US812507,B23D 51,1904,surgical engine,William H Ludewig
US913363,H04L 7,1903,electrical apparatus,Albert C Crehore
US702371,F04B 9,1901,motor system,Henry Andrew Meyer
US654130,B63H 20,1899,electric control,Gen Electric
US672320,F16F 15,1899,counterbalance system,Robert Edgar Ford
US642761,F16F 15,1897,reciprocating engine,Michael Holroyd Smith
US574780,B26D 1,1896,britton,P Two
US546553,G06C 1,1894,porter,F One
US552379,B23B 39,1894,Island,The Pettee Machine Works
US309608,F03G 5,1884,horse power,Lewis H. Davis
US170538,B23B 5,1875,tuning carriage,F One
