from,to,weigh,year
US4543959A,US6167145A,1,1996
US3789832A,US4543959A,1,1981
US3691455A,US3789832A,1,1972
US3932805A,US4543959A,1,1981
US3789832A,US3932805A,1,1973
US3775671A,US3932805A,1,1973
US3723856A,US3775671A,1,1972
US4015196A,US4543959A,1,1981
US3789832A,US4015196A,1,1972
US3932805A,US4015196A,1,1972
US4021726A,US4543959A,1,1981
US3932805A,US4021726A,1,1974
US4070611A,US4543959A,1,1981
US4015196A,US4070611A,1,1975
US4021726A,US4070611A,1,1975
US4240439A,US4543959A,1,1981
US3691455A,US4240439A,1,1975
US3789832A,US4240439A,1,1975
US3932805A,US4240439A,1,1975
US4291578A,US4543959A,1,1981
US3924452A,US4291578A,1,1978
US4052888A,US4291578A,1,1978
US3777740A,US4052888A,1,1975
US3924450A,US4052888A,1,1975
US3988922A,US4052888A,1,1975
US3777834A,US3988922A,1,1975
US3682265A,US3777834A,1,1969
US3715914A,US3988922A,1,1975
US3810384A,US3988922A,1,1975
US3811320A,US3988922A,1,1975
US3585851A,US3811320A,1,1973
US4065976A,US4291578A,1,1978
US3913388A,US4065976A,1,1976
US3553570A,US3913388A,1,1975
US3670562A,US3913388A,1,1975
US3921440A,US4065976A,1,1976
US3777552A,US3921440A,1,1975
US3678188A,US3777552A,1,1971
US4196630A,US4291578A,1,1978
US3924452A,US4196630A,1,1978
US3743049A,US4196630A,1,1978
US3777740A,US4196630A,1,1978
US3996792A,US4196630A,1,1978
US3924452A,US3996792A,1,1974
US4052888A,US4196630A,1,1978
US3984693A,US4196630A,1,1978
US3770955A,US3984693A,1,1975
US4065976A,US4196630A,1,1978
US4361807A,US4543959A,1,1981
US4021726A,US4361807A,1,1979
US4070611A,US4361807A,1,1979
US4115730A,US4361807A,1,1979
US3789832A,US4115730A,1,1976
US3932805A,US4115730A,1,1976
US4015196A,US4115730A,1,1976
US4021726A,US4115730A,1,1976
US4385634A,US4543959A,1,1981
US3771355A,US4385634A,1,1981
DE2709725A1,US4385634A,1,1981
US4246784A,US4385634A,1,1981
US4465069A,US6167145A,1,1996
DE2139433A1,US4465069A,1,1981
US4131802A,US4465069A,1,1981
US3974388A,US4131802A,1,1976
US4228799A,US4465069A,1,1981
US4341220A,US4465069A,1,1981
US4407298A,US6167145A,1,1996
US3671918A ,US4407298A,1,1981
US3720199A,US4407298A,1,1981
US3995623A,US4407298A,1,1981
US3815611A,US3995623A,1,1974
US3614955A,US3815611A,1,1971
US3606881A,US3815611A,1,1971
US3680544A,US3815611A,1,1971
US3837347A,US3995623A,1,1974
US3599620A,US3837347A,1,1972
US3674014A,US3837347A,1,1972
US3707960A,US3837347A,1,1972
US3680544A,US3837347A,1,1972
US4396945A,US6167145A,1,1996
US3793481A,US4396945A,1,1981
US4473074A,US6167145A,1,1996
US3703176A,US4473074A,1,1981
